Date,Currency,Maturity,SwapRate
2010-12-31,DK,1,1.643
2011-01-31,DK,1,1.759
2011-02-28,DK,1,1.715
2011-03-31,DK,1,2.071
2011-04-29,DK,1,2.037
2011-05-31,DK,1,1.978
2011-06-30,DK,1,2.0075
2011-07-29,DK,1,
2011-08-31,DK,1,1.592
2011-09-30,DK,1,1.46
2011-10-31,DK,1,1.4625
2011-11-30,DK,1,1.288
2011-12-30,DK,1,1.1301
2012-01-31,DK,1,1.1725
2012-02-29,DK,1,1.1625
2012-03-30,DK,1,1.166
2012-04-30,DK,1,1.094
2012-05-31,DK,1,0.883
2012-06-29,DK,1,0.7458
2012-07-31,DK,1,0.525
2012-08-31,DK,1,0.548
2012-09-28,DK,1,0.587
2012-10-31,DK,1,0.619
2012-11-30,DK,1,0.426
2012-12-31,DK,1,0.433
2013-01-31,DK,1,0.632
2013-02-28,DK,1,0.547
2013-03-29,DK,1,0.461
2013-04-30,DK,1,0.477
2013-05-31,DK,1,0.474
2013-06-28,DK,1,0.514
2013-07-31,DK,1,0.492
2013-08-30,DK,1,0.649
2013-09-30,DK,1,0.632
2013-10-31,DK,1,0.582
2013-11-29,DK,1,0.5025
2013-12-31,DK,1,0.537
2014-01-31,DK,1,0.5385
2014-02-28,DK,1,0.5319
2014-03-31,DK,1,0.5585
2014-04-30,DK,1,0.5505
2014-05-30,DK,1,0.508
2014-06-30,DK,1,0.548
2014-07-31,DK,1,0.5735
2014-08-29,DK,1,0.5195
2014-09-30,DK,1,0.443
2014-10-31,DK,1,0.455
2014-11-28,DK,1,0.4535
2014-12-31,DK,1,0.408
2015-01-30,DK,1,0.052
2015-02-27,DK,1,-0.0023
2015-03-31,DK,1,0.072
2015-04-30,DK,1,0.0227
2015-05-29,DK,1,0.099
2015-06-30,DK,1,0.0985
2015-07-31,DK,1,0.1715
2015-08-31,DK,1,0.2125
2015-09-30,DK,1,0.2245
2015-10-30,DK,1,0.1195
2015-11-30,DK,1,0.043
2015-12-31,DK,1,0.118
2016-01-29,DK,1,0.0955
2016-02-29,DK,1,0.0603
2016-03-31,DK,1,0.0865
2016-04-29,DK,1,0.0642
2016-05-31,DK,1,
2016-06-30,DK,1,-0.0172
2016-07-29,DK,1,-0.0381
2016-08-31,DK,1,-0.0346
2016-09-30,DK,1,-0.0252
2016-10-31,DK,1,-0.0081
2016-11-30,DK,1,0.002
2016-12-30,DK,1,-0.027
2017-01-31,DK,1,-0.0399
2017-02-28,DK,1,-0.0768
2017-03-31,DK,1,-0.0659
2017-04-28,DK,1,-0.0611
2017-05-31,DK,1,-0.0595
2017-06-30,DK,1,-0.0424
2017-07-31,DK,1,-0.0647
2017-08-31,DK,1,-0.1247
2017-09-29,DK,1,-0.1353
2017-10-31,DK,1,-0.1422
2017-11-30,DK,1,-0.1413
2017-12-29,DK,1,-0.147
2018-01-31,DK,1,-0.1454
2018-02-28,DK,1,-0.1287
2018-03-30,DK,1,-0.1361
2018-04-30,DK,1,-0.1173
2018-05-31,DK,1,-0.1107
2018-06-29,DK,1,-0.1309
2018-07-31,DK,1,-0.1264
2018-08-31,DK,1,-0.1209
2018-09-28,DK,1,-0.1136
2018-10-31,DK,1,-0.1298
2018-11-30,DK,1,-0.1277
2018-12-31,DK,1,-0.0988
2019-01-31,DK,1,-0.122
2019-02-28,DK,1,-0.1281
2019-03-29,DK,1,-0.1507
2019-04-30,DK,1,-0.1711
2019-05-31,DK,1,-0.2011
